SupplierID,CompanyName,ContactInfo
1,"Caracciolo, Asmundo e Leone e figli","elladiocamicione@example.net, +39 096260013"
2,"Filangieri, Verdone e Puccini e figli","zlettiere@example.org, +39 363654235"
3,Cagnin-Oliboni Group,"ornella07@example.net, +39 3783618499"
4,"Bonanno, Beccheria e Gentilini Group","gianninistefania@example.org, 0536752551"
5,"Donini, Udinese e Gotti e figli","rparisi@example.net, +39 3605030561"
6,"Medici, Frescobaldi e Tarchetti s.r.l.","qcocci@example.org, +39 3478849695"
7,Tommaseo s.r.l.,"bellinisonia@example.org, +39 35152691698"
8,Visconti-Amato SPA,"marissa51@example.com, 0375704828"
9,"Filangieri, Correr e Paltrinieri e figli","mocciaseverino@example.org, +39 350554303"
10,"Speri, Bompiani e Tutino e figli","florasiffredi@example.net, +39 0522896386"
